year,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,china_gdp,disaster,civilwar,dist,distw,distwces,trade,atopally,region
2000,AFG,1,-7,32014249841,20779957,11.65,2232180000000,0,1,4180.4375,4434.381992228317,4369.992802879414,253510624,0,South Asia
2001,AFG,1,-7,33272299375,21606992,11.63,2418250000000,3.999999998,1,4180.4375,4434.381992228317,4369.992802879414,13193305,0,South Asia
2002,AFG,2,0,7465114629,22600774,11.68,2639120000000,1285.999798,1,4180.4375,4434.381992228317,4369.992802879414,14619456,0,South Asia
2003,AFG,2,-4,8124454292,23680871,11.68,2904040000000,137.0000003,1,4180.4375,4434.381992228317,4369.992802879414,17839410,0,South Asia
2004,AFG,2.5,-4,8239343661,24726689,11.61,3197740000000,18.00000003,1,4180.4375,4434.381992228317,4369.992802879414,34308624,0,South Asia
2005,AFG,3,-2,9164598458,25654274,11.52,3562110000000,561.0000677,1,4180.4375,4434.381992228317,4369.992802879414,30974072,0,South Asia
2006,AFG,3,-1,9655582953,26433058,11.34,4015240000000,382.0000069,1,4180.4375,4434.381992228317,4369.992802879414,60167272,0,South Asia
2007,AFG,3,-2,10990594707,27100542,11.18,4586650000000,296.0000261,1,4180.4375,4434.381992228317,4369.992802879414,93137512,0,South Asia
2008,AFG,2.5,-6,11421973771,27722281,11.11,5029290000000,0,1,4180.4375,4434.381992228317,4369.992802879414,91372144,0,South Asia
2009,AFG,2.5,-6,13865194314,28394806,11.46,5501980000000,100.9999999,1,4180.4375,4434.381992228317,4369.992802879414,150735424,0,South Asia
2010,AFG,2.5,-4,15856574731,29185511,11.52,6087160000000,349.9999974,1,4180.4375,4434.381992228317,4369.992802879414,124604616,0,South Asia
2011,AFG,2.5,-5,15924179996,30117411,11.51,6668540000000,61.99999998,1,4180.4375,4434.381992228317,4369.992802879414,157945728,0,South Asia
2012,AFG,2.5,-5,17954877146,31161378,11.52,7192930000000,333.0000057,1,4180.4375,4434.381992228317,4369.992802879414,323427488,0,South Asia
2013,AFG,2.5,-6,18960483969,32269592,11.54,7751550000000,154.9999966,1,4180.4375,4434.381992228317,4369.992802879414,231473488,0,South Asia
2014,AFG,1,-7,19477070577,33370804,11.45,8327160000000,574.9999869,1,4180.4375,4434.381992228317,4369.992802879414,263119728,0,South Asia
2000,AGO,2,-3,36155384575,16395477,3.87,2232180000000,58.99999984,1,11769.5146484375,11829.967001156616,11803.086859800445,92710192,0,Sub-Saharan Africa
2001,AGO,2,-3,37676079529,16945753,3.85,2418250000000,56.99999982,1,11769.5146484375,11829.967001156616,11803.086859800445,35068548,0,Sub-Saharan Africa
2002,AGO,2.5,-2,42824774451,17519418,3.88,2639120000000,7.999999995,1,11769.5146484375,11829.967001156616,11803.086859800445,44992312,0,Sub-Saharan Africa
2003,AGO,2.5,-2,44105170975,18121477,3.88,2904040000000,14.99999998,0,11769.5146484375,11829.967001156616,11803.086859800445,98206208,0,Sub-Saharan Africa
2004,AGO,2.5,-2,48935949384,18758138,3.85,3197740000000,28.00000002,1,11769.5146484375,11829.967001156616,11803.086859800445,116163208,0,Sub-Saharan Africa
2005,AGO,2.5,-2,56290491777,19433604,3.81,3562110000000,0,0,11769.5146484375,11829.967001156616,11803.086859800445,225581680,0,Sub-Saharan Africa
2006,AGO,2.5,-2,62790739427,20149905,3.73,4015240000000,0,0,11769.5146484375,11829.967001156616,11803.086859800445,534686304,0,Sub-Saharan Africa
2007,AGO,2.5,-2,71587733475,20905360,3.66,4586650000000,104.9999988,1,11769.5146484375,11829.967001156616,11803.086859800445,682033920,0,Sub-Saharan Africa
2008,AGO,2.5,-2,79581318823,21695636,3.63,5029290000000,7,0,11769.5146484375,11829.967001156616,11803.086859800445,1753681024,0,Sub-Saharan Africa
2009,AGO,3,-2,80264693647,22514275,3.78,5501980000000,62.00000006,1,11769.5146484375,11829.967001156616,11803.086859800445,1684292736,0,Sub-Saharan Africa
2010,AGO,4.5,6,83799496611,23356247,9.43,6087160000000,25.00000005,0,11769.5146484375,11829.967001156616,11803.086859800445,1426434432,0,Sub-Saharan Africa
2011,AGO,4,5,86708995310,24220660,7.36,6668540000000,129.9999994,0,11769.5146484375,11829.967001156616,11803.086859800445,1909677952,0,Sub-Saharan Africa
2012,AGO,4.5,5,94115840393,25107925,7.37,7192930000000,0,0,11769.5146484375,11829.967001156616,11803.086859800445,2816178944,0,Sub-Saharan Africa
2013,AGO,4,4,98778851724,26015786,7.38,7751550000000,8.999999996,0,11769.5146484375,11829.967001156616,11803.086859800445,2789779200,0,Sub-Saharan Africa
